Variable;Action Cluster_code;Action Cluster_Name;Action Cluster_Description;Action Area_code;inplan2022;Action Area
r34;AC17;Water security and quality;Implementation of measures to ensure availability, quality, and access to water in the context of climate change.;AT06;x19;Climate-proofing of infrastructure and services
r35;AC18;Health services;Strengthening and adapting healthcare systems to face the challenges and risks associated with climate change.;AT06;x19;Climate-proofing of infrastructure and services
r36;AC19;Food safety and sustainable services;Implementation of practices and technologies that ensure the availability, access, and stability of nutritious and culturally appropriate foods.;AT06;x19;Climate-proofing of infrastructure and services
r37;AC20;Climate insurance and risk transfer;Developing and implementing financial mechanisms that help vulnerable communities and sectors to recover from the economic impacts of climate change.;AT07;x20;Risk transfer: insurance and social protection instruments
r38;AC21;Social protection actions;Implementing social protection programs and policies that help vulnerable communities cope with and adapt to the impacts of climate change.;AT07;x20;Risk transfer: insurance and social protection instruments
r39;AC22;Agricultural, livestock, forestry and aquiacultural practices actions;Promotion and implementation of sustainable and resilient practices in these sectors.;AT08;x21;Sharing of knowledge and best practices on climate risk management
r40;AC23;Community-based inclusive and participatory risk reduction;Strengthening the capacity of local communities to identify, evaluate, and address climate risks in an inclusive and participatory manner.;AT08;x21;Sharing of knowledge and best practices on climate risk management
r41;AC24;Climate hazard communication, information, and technology awareness;Developing and implementing communication and education strategies and tools that help communities understand and address climate risks.;AT08;x21;Sharing of knowledge and best practices on climate risk management
r42;AC25;Knowledge building for resilience;Promoting and implementing research, training, and skill-building activities that strengthen the capacity of communities and other actors to cope with climate change.;AT08;x21;Sharing of knowledge and best practices on climate risk management
r43;AC26;Research and collaboration actions;Fostering cooperation and knowledge exchange among institutions, sectors, and countries on climate resilience.;AT08;x21;Sharing of knowledge and best practices on climate risk management
r44;AC27;Livelihood diversification and social economy;Supporting the diversification of income sources and the promotion of sustainable and climate-resilient economic activities.;AT09;x22;Increase in the volume, quality and access of public and private finance to invest in resilience
r45;AC28;Financial and investment tools in case of climate disasters;Developing and implementing financial instruments and investment strategies that mobilize resources for recovery and reconstruction after climate disasters.;AT09;x22;Increase in the volume, quality and access of public and private finance to invest in resilience
r46;AC29;Economic incentives;Establishing economic incentives that promote the adoption of climate-resilient practices and the conservation of natural resources.;AT09;x22;Increase in the volume, quality and access of public and private finance to invest in resilience
