InitName;All_Countries;Cities;lat;lon;SAA Priority Systems;Description;Title;Date;Implementers;Beneficiaries / Impact:;Official_Link;Video_Description;Comments
InsuResilience Global Partnership (IRGP);Nepal;Kathmandu;27.717245;85.324;"Human Settlements; Finance: Cross-cutting";In Nepal, a collaboration including Practical Action and other organizations is offering index-based flood insurance to protect farmers in flood-prone regions, predominantly in the western part of the country. This innovative initiative leverages river flow rates for immediate payouts and includes an educational component for farming advice. Targeting to benefit 267,000 farmers by 2025, it focuses on strengthening resilience against floods, particularly in Lower Karnali, providing both proactive preparation and immediate relief during flood events.;Nepal: Protecting farmers with flood insurance;AUGUST 17, 2023;Practical Action, Stonestep TFD Pvt. Ltd., Global Parametrics Ltd., Shikhar Insurance Co Ltd., InsuResilience Solutions Fund (ISF);267,000 beneficiaries by 2025;https://climatechampions.unfccc.int/nepal-protecting-farmers-with-flood-insurance/;No Available;No comment
Global EverGreening Alliance (GEGA);Malawi;Lilongwe;-13.962612;33.774119;Food and Agriculture;Restore Africa, launched by the Global EverGreening Alliance and Climate Asset Management at COP26 in 2021, aims to restore 1.9 million hectares in six African countries. The program focuses on improving the lives of 1.5 million farming families through Evergreening practices and the generation of carbon credits.;Restoring landscapes and livelihoods across East and Southern Africa;NOVEMBER 22, 2022;Grassroots organisations;No Available;https://climatechampions.unfccc.int/restoring-landscapes-and-livelihoods-across-east-and-southern-africa/;No Available;No comment
Cities Race to Resilience (CitiesR2R);Zambia;Lusaka;-15.40669;28.28713;Human Settlements;Lusaka is addressing climate resilience through solid waste management (SWM), focusing on the challenges of a growing peri-urban population in informal settlements. The Lusaka City Council's SWM program includes monthly clean-ups, community education on waste and climate-related flooding, and partnerships for waste collection and processing. Research with the University of Zambia explores turning organic waste into liquid fertilizer, contributing to local food security. These efforts are part of the broader Cities Race to Resilience campaign.;Lusaka, Zambia: The African city championing climate resilience through solid waste management (SWM);NOVEMBER 30, 2022;Lusaka City Council (LCC);No Available;https://climatechampions.unfccc.int/lusaka-zambia-the-african-city-championing-climate-resilience-through-solid-waste-management-swm/;No Available;No comment
Global EverGreening Alliance (GEGA);Zambia;Lusaka;-15.387526;28.322817;Food and Agriculture;Restore Africa, launched by the Global EverGreening Alliance and Climate Asset Management at COP26 in 2021, aims to restore 1.9 million hectares in six African countries. The program focuses on improving the lives of 1.5 million farming families through Evergreening practices and the generation of carbon credits.;Restoring landscapes and livelihoods across East and Southern Africa;NOVEMBER 22, 2022;Grassroots organisations;No Available;https://climatechampions.unfccc.int/restoring-landscapes-and-livelihoods-across-east-and-southern-africa/;No Available;No comment
International Coalition of Sustainable Infrastructure (ICSI);United States of America;Manhattan, New York City;40.78306;-73.971249;"Human Settlements; Infrastructure; Water and Nature";Manhattan’s East Side introduces the East Side Coastal Resiliency (ESCR) Project, an ambitious urban adaptation effort to address flood risks along the East River. Jointly funded by New York City and the federal government, the $1.45 billion project covers the area from East 25th Street to Montgomery Street. Key features include a 2.4-mile flood protection system with floodwalls and floodgates, and upgrades to the underground drainage system. The project, fueled by inclusive community engagement, aims to protect over 110,000 residents and integrate seamlessly with local infrastructure and public spaces. ESCR is a response to challenges posed by events like Hurricane Sandy, focusing on both physical robustness and socio-economic resilience, ensuring community connectivity and revitalizing public spaces for future protection against storm surges and rising sea levels.;Manhattan debuts ambitious coastal protection blueprint;SEPTEMBER 14, 2023;New York City;< 110,000 people;https://climatechampions.unfccc.int/manhattan-debuts-ambitious-coastal-protection-blueprint/;No Available;No comment
Climate Resilient Housing (CRH);Philippines;Manila;14.599512;120.984222;"Infrastructure; Human Settlements; Finance: Cross-cutting";Build Change's initiative in the Philippines, particularly evident in Manila, focuses on creating resilient housing to counteract the nation’s vulnerability to natural disasters. This project has led to over 4,000 resilient buildings, enhancing the safety and well-being of over 45,000 people. By partnering with Microfinance Institutions, Build Change offers affordable retrofitting and construction loans, specifically aiding economically marginalized families. The initiative not only strengthens homes against typhoons and earthquakes but also creates jobs and educates communities in safe construction practices, with women making up 95% of the loan recipients.;Turning money into mortar: Transforming the housing landscape in disaster-prone Philippines;JUNE 15, 2023;Build Change;45,000 people ;https://climatechampions.unfccc.int/turning-money-into-mortar-transforming-the-housing-landscape-in-disaster-prone-philippines/;https://www.youtube.com/watch?v=8XJlhma2-30;No comment
Insurance Development Forum (IDF);Colombia;Medellín;6.2442;-75.581212;"Finance: Cross-cutting; Human Settlements; Infrastructure";The Medellín Project, in collaboration with various organizations including IDF and InsuResilience, aims to enhance Medellín’s financial resilience against climate-related risks like floods and landslides. The project introduced parametric insurance, which provides swift financial aid based on predetermined triggers, such as specific rainfall levels. Covering the Medellín District, its 16 communes, and 5 corregimientos, it benefits over 4 million people. The initiative showcases successful public-private collaboration, adaptability to local data sources, and innovative risk transfer mechanisms. As the project concludes, its lessons are being considered for replication in other Colombian cities and shared globally, including at COP28.;The Medellín Project: A climate insurance success story;SEPTEMBER 21, 2023;Medellín Administrative Department of Disaster Risk Management (DAGRD)-  IDF, InsuResilience,  German Federal Ministry for Economic Cooperation and Development (BMZ), and the United Nations Development Programme (UNDP) – co-funded by the InsuResilience Solutions Fund (ISF) and IDF implementation partners, namely WTW and Hannover Re.; Medellín District, including its 16 communes and 5 corregimientos – potential to benefit < 4,000,000 people;https://climatechampions.unfccc.int/improving-urban-resilience-through-insurance-innovations-in-colombia/;No Available;No comment
DARAJA (Resurgence) (DARAJA);Kenya;Nairobi;-1.2867;36.817223;Human Settlements;DARAJA has reached nearly a million residents in Nairobi, enhancing access to weather and climate information. Community engagement and the involvement of relevant agencies have increased resilience against extreme weather events.;DARAJA: Transforming Weather Information into Urban Resilience in Nairobi, Kenya;SEPTEMBER 5, 2023;Kounkuey Design Initiative (KDI) in Nairobi, the Kenya Meteorological Department (KMD) and array of key local community partners and leaders.;No Available;https://climatechampions.unfccc.int/daraja-a-systems-wide-approach-to-climate-resilience-in-east-africa/;https://www.youtube.com/watch?v=15mvDkpl49Y&embeds_referring_euri=https%3A%2F%2Fclimatechampions.unfccc.int%2F&embeds_referring_origin=https%3A%2F%2Fclimatechampions.unfccc.int&feature=emb_imp_woyt;No comment
Global EverGreening Alliance (GEGA);Kenya;Nairobi;-1.286389;36.817223;Food and Agriculture;Restore Africa, launched by the Global EverGreening Alliance and Climate Asset Management at COP26 in 2021, aims to restore 1.9 million hectares in six African countries. The program focuses on improving the lives of 1.5 million farming families through Evergreening practices and the generation of carbon credits.;Restoring landscapes and livelihoods across East and Southern Africa;NOVEMBER 22, 2022;Grassroots organisations;No Available;https://climatechampions.unfccc.int/restoring-landscapes-and-livelihoods-across-east-and-southern-africa/;No Available;No comment
Resilience First (RF);India;New Delhi;28.613939;77.209023;"Water and Nature; Finance: Cross-cutting";Banka BioLoo is addressing sanitation challenges in rural India with their innovative bio-toilet technology. These sustainable, low-maintenance solutions have been installed in 22 Indian states, offering an effective alternative to traditional sewage systems. The bio-toilets reduce solid waste by 90%, generate recycled water for gardening, and produce biogas for energy. Banka BioLoo's initiative has notably improved hygiene and health in schools, leading to a decrease in waterborne diseases and an increase in school attendance, especially among girls.;Banka BioLoo: The company supporting access to clean sanitation in rural India;MARCH 27, 2023;Banka BioLoo;No Available;https://climatechampions.unfccc.int/banka-bioloo-the-company-supporting-access-to-adequate-sanitation-with-a-climate-friendly-technology-in-remote-states-of-india/?_gl=1*1im9jgg*_ga*MTI1MDQzMTE3MC4xNjg1Mzc4MDc5*_ga_7ZZWT14N79*MTY5NjM1NTYwOC4yMDIuMS4xNjk2MzU2NjUxLjAuMC4w;No Available;No comment
RegionsAdapt (RegionsAdapt);Brazil;Paraíba do Sul River Basin;-22.1585;-44.303;"Finance: Cross-cutting; Human Settlements";"The ""Conexão Mata Atlântica"" project, spanning across the states of Rio de Janeiro, São Paulo, and Minas Gerais, focuses on restoring the Paraíba do Sul River Basin and the Atlantic Forest. Funded by the GEF and IDB, the project aims to restore 440,000 hectares to increase forest coverage. It leverages Payments for Environmental Services (PES) to incentivize rural producers for environmental actions, restoring 2,440 hectares and benefiting 237 families. The project integrates sustainable agricultural practices like agroforestry and silvopastoral systems, enhancing local resilience, biodiversity conservation, and carbon sequestration.";A tale of resilience and restoration in Brazil’s Paraíba do Sul River Basin;SEPTEMBER 29, 2023;"Global Environment Facility (GEF), Inter-American Development Bank (IDB), the Government of the States of Rio de Janeiro, São Paulo, Minas Gerais;  Federal Government of Brazil.";"237 rural landowner families benefited; 2,440 Ha of land restored out of 440,000 Ha pledged,  US$1.7 million invested.";https://climatechampions.unfccc.int/a-tale-of-resilience-and-restoration-in-brazils-paraiba-do-sul-river-basin/;No Available;No comment
Scale for Resilience Nature-based solutions (S4R);Ecuador;Parroquia Tarqui, Guayaquil;-2.203816;-79.897453;"Food and Agriculture; Finance: Cross-cutting";Scale for Resilience, in partnership with YAPU Solutions, the Interamerican Development Bank, and Red de Instituciones Financiera de Desarrollo, has launched the ECO MICRO initiative in Ecuador. This program aims to empower smallholder farmers and micro businesses in the agricultural sector with access to finance, risk management tools, and capacity building for climate-smart agriculture. ECO MICRO integrates data and climate analysis to improve agricultural finance methods and strategies. It has successfully distributed over USD $7.68 million in credits for various climate-smart agriculture projects, including biodigesters, eco-tourism, crop rotation, and irrigation systems. In Parroquia Tarqui, Guayaquil, the initiative helped enhance tilapia production, exemplifying its positive impact on income and climate adaptation for local farmers.;Enhancing small-holder farmers’ access to agricultural finance and smart data for climate adaptation in Ecuador;OCTOBER 31, 2022;YAPU, Interamerican Development Bank, Red de Instituciones Financiera de Desarrollo;No Available;https://climatechampions.unfccc.int/enhancing-small-holder-farmers-access-to-agricultural-finance-and-smart-data-for-climate-adaptation-in-ecuador/;https://www.youtube.com/watch?v=_QAOrzlNOjo&embeds_referring_euri=https%3A%2F%2Fclimatechampions.unfccc.int%2F&embeds_referring_origin=https%3A%2F%2Fclimatechampions.unfccc.int&feature=emb_imp_woyt;No comment
Cities Race to Resilience (CitiesR2R);United Kingdom;Portsmouth;50.79889;-1.09125;"Infrastructure; Planning and Policy: Cross-cutting";Portsmouth, facing rising sea levels and increased coastal flooding, is innovatively responding with the UK's largest local authority-led coastal defence project, the Southsea Coastal Scheme. This initiative aims to protect 10,000 homes and 704 commercial properties over the next century. The project includes six sub-frontages with mixed defences, blending robust coastal protection seamlessly into the cityscape and historical sites. Additionally, the North Portsea Island scheme provides a '1 in 500 year' standard of protection with a specially textured seawall to promote marine life. These efforts are part of Portsmouth’s commitment under the Cities Race to Resilience, a global initiative to build climate resilience. The city is also focusing on sustainability and social inclusivity, enhancing urban spaces for cyclists and pedestrians while protecting against climate risks.;Building coastal resilience in Portsmouth: A city under siege by the sea;JUNE 27, 2023;No Available;No Available;https://climatechampions.unfccc.int/building-coastal-resilience-in-portsmouth-a-city-under-siege-by-the-sea/;No Available;No comment
Climate Resilient Housing (CRH);Honduras;Puerto Viejo, Choloma;15.64;-87.92;Infrastructure;In Honduras, Build Change and the Honduran Red Cross have initiated a pilot project to enhance climate resilience in the Sula Valley, specifically in Puerto Viejo and Choloma. This initiative responds to the destruction caused by Hurricanes Eta and Iota by retrofitting existing homes and expanding some to a second story, providing a safe refuge in emergencies. It also includes the installation of solar panels and rainwater collection tanks for greater autonomy. The project, well-received by the community, aims to improve living conditions and enhance safety against climate disasters. So far, it has reached 550 people with permanent and transitional housing solutions and plans to expand its impact further.;Reducing climate vulnerability by building resilient housing in Honduras;OCTOBER 28, 2022;Honduran Red Cross, Build Change;No Available;https://climatechampions.unfccc.int/reducing-climate-vulnerability-by-building-resilient-housing-in-honduras/;https://www.youtube.com/watch?v=aRE0QfbdjPQ&embeds_referring_euri=https%3A%2F%2Fclimatechampions.unfccc.int%2F&embeds_referring_origin=https%3A%2F%2Fclimatechampions.unfccc.int&feature=emb_imp_woyt;No comment
Initiative 20x20 (I20x20);Brazil;São Luís;-2.5397;-44.2825;Water and Nature;In Brazil, the sustainable babassu palm initiative, spearheaded by Initiative 20×20 with Tobasa Bioindustrial de Babaçu and Kaeté Investimentos, is revitalizing the babassu industry as an eco-friendly alternative to imported palm oil. Centered in states like Maranhão, with São Luís as a key city, this project is transforming the lives of 1,500 rural families across 120,000 hectares. Tobasa's innovative approach, utilizing every part of the babassu coconut, bolsters local economies and supports environmental conservation. With a USD 2.2 million investment, the initiative not only enhances the local industry but also aids in carbon storage and land restoration.;Reviving Brazil’s Babassu: A sustainable alternative to imported palm oil;AUGUST 11, 2023;Tobasa Bioindustrial de Babaçu, Kaeté Investimentos;1,500 local families – 120,000 Ha, USD 2.2 million invested;https://climatechampions.unfccc.int/reviving-brazils-babassu-a-sustainable-alternative-to-imported-palm-oil/;No Available;No comment
Efficiency for Access Coalition (EforA);Kenya;Thika;-1.038756;37.083375;Food and Agriculture;Jungle Harvest Limited, led by Jane and Kamau Mbarire in Thika, Kenya, has revolutionized their herb farming business with solar-powered cold storage. This breakthrough has increased the production capacity of herbs, almost doubling the farm's income by facilitating larger export orders. The cold room preserves the herbs in optimal conditions, meeting the high quality standards for export. In addition, the farm supports the local community by employing young single mothers and distributing fresh vegetables;Harvesting the sun: How solar energy transformed a Kenyan herb farm;JULY 20, 2023;Jungle Harvest Limited;No Available;https://climatechampions.unfccc.int/harvesting-the-sun-how-solar-energy-transformed-a-kenyan-herb-farm/;No Available;No comment
DARAJA (Resurgence) (DARAJA);Sudan;Tuti Island, Khartoum;15.616667;32.51666;"Human Settlements; Infrastructure";In Tuti Island, Khartoum, Sudan, the DARAJA initiative, in collaboration with SUDTT and other partners, has implemented an innovative early warning system to enhance residents' resilience against extreme weather events. The initiative was developed in response to devastating floods in 2020. The Taya system, a community-led indigenous flood monitoring and warning system, includes tents situated in strategic locations as lookout points. The project involves vulnerability assessments, access to weather forecasts, preference surveys for warning information, understanding weather forecasts, and applying forecast information. This comprehensive approach aims to improve the climate resilience of vulnerable populations, particularly in areas prone to flooding. The project also includes the active participation of women and youth as key stakeholders. Future plans aim to expand the project nationwide.;Early warning system helps locals respond to extreme weather events in Sudan;OCTOBER 11, 2022;Tuti Community Groups, Sudan Urban Development Think Tank (SUDTT), Resurgence, University of Khartoum;No Available;https://climatechampions.unfccc.int/early-warning-system-helps-locals-respond-to-extreme-weather-events-in-sudan/;No Available;No comment
Global Mangrove Alliance (GMA);Indonesia;West Kalimantan;-0.13224;11.109689;Coastal and Oceans;In West Kalimantan, Indonesia, local communities, governments, and organizations like the Global Mangrove Alliance are engaged in restoring mangrove forests. This project has restored over 700 hectares and directly impacts the lives of 1,318 villagers, 40% of whom are fishermen reliant on healthy mangroves. The initiative aims to rejuvenate marine habitats and reconnect communities with their cultural heritage, while also contributing to global efforts to combat climate change through initiatives like the Sharm El Sheikh Adaptation Agenda.;The guardians of the mangrove forest in West Kalimantan, Indonesia;AUGUST 7, 2023;Local communities and local governments of West Kalimantan, The Peat and Mangrove Restoration Agency (BRGM), Planet Indonesia.;More than 700 ha restored, 1,318 villagers of which 40% are fishermen directly dependent on healthy mangroves;https://climatechampions.unfccc.int/the-guardians-of-the-mangrove-forest-in-west-kalimantan-indonesia/;No Available;No comment
